id,sort,dc_title,dc_description,dc_creator,GeoBlacklight:Information Page,iiif_service
07be7357-7c58-43b3-9d11-282723b62758,22,"Map of Eddy Township: Township 148 N; Range 38 W of the 5th PM.; Page 31: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/624/info.json
1b7b0e51-2fd2-4816-96d6-3660393ce335,23,"Map of Holst Township: Township 148 N; Range 37 W of the 5th PM.; Page 33: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/625/info.json
7f1b9173-195e-4d50-9662-fac21a8828b7,24,"Map of Dudley Township: Township 148 N; Range 36 W of the 5th PM.; Page 35: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/626/info.json
099bd64a-da6a-4808-af04-a57fefe88b59,25,"Map of Popple Township: Township 147 N; Range 38 W of the 5th PM.; Page 37: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/627/info.json
c2f6cdfd-b957-400d-a3c5-972bbaa6baa8,26,"Advertisements.; Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/628/info.json
67871e53-96f1-4a2a-9348-6026c204f3f9,27,"Map of Copley Township: Township 147 N; Range 37 W of the 5th PM.; Page 39: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/629/info.json
d98d911e-4085-4755-a80b-80081d491dfd,28,"Map of Shevlin Township: Township 147 N; Range 36 W of the 5th PM.; Page 41: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/630/info.json
b8ede039-3f27-4740-9c26-6ade09cc3d14,29,"Map of Part of White Earth Indian Reservation: Township 146 N; Range 38 W of the 5th PM.; Page 43: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/631/info.json
2ec47ff4-4159-4f23-88b7-9c15dba55ac5,30,"Map of Nora Township: Township 146 N; Range 37 W of the 5th PM.; Page 45: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/632/info.json
1c620b63-33a2-4285-bff1-47b165349351,31,"Map of Moose Creek Township: Township 146 N; Range 36 W of the 5th PM.; Page 47: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/633/info.json
8ebb86fe-8209-4ab9-a5e7-843336b72e59,32,"Map of Part of White Earth Indian Reservation: Township 145 N; Range 38 W of the 5th PM.; Page 49: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/634/info.json
a4ddbcf2-a663-4488-8275-45a0b5530131,33,"Map of Minerva Township: Township 145 N; Range 37 W of the 5th PM.; Page 51: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/635/info.json
c13a1b2b-b27a-4684-a984-9371e6dcd08e,34,"Map of Bear Creek Township: Township 145 N; Range 36 W of the 5th PM.; Page 53: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/636/info.json
adeaa005-bebb-42ac-be72-d29d9a4a34e4,35,"Map of Part of White Earth Indian Reservation: Township 144 N; Range 38 W of the 5th PM.; Page 55: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/637/info.json
c5cb6ee8-b3d9-4ea5-9b69-6a47ffb4c80c,36,"Map of Rice Township: Township 144 N; Range 37 W of the 5th PM.; Page 57: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/638/info.json
71d7a304-4a2f-448a-aecd-a799a979ab70,37,"Map of Itasca Township: Township 144 N; Range 36 W of the 5th PM.; Page 59: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/639/info.json
b1d7b3bc-f99c-4a2a-8054-a5f576214fca,38,"Map of Part of White Earth Indian Reservation: Township 143 N; Range 38 W of the 5th PM.; Page 61: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/640/info.json
d1a7704f-b9aa-4daa-8a99-06c874e40c31,39,"Map of Part of White Earth Indian Reservation: Township 143 N; Range 37 W of the 5th PM.; Page 63: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/641/info.json
d4eed0bc-d3d5-4e72-b3bf-d5f247ad7f7e,40,"Map of Unorganized Township: Township 143 N; Range 36 W of the 5th PM.; Page 65: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/642/info.json
e9be2556-3683-467f-a8c4-12630a40103d,41,"Maps of Leonard, Murray, & Ebro; Page 67: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/643/info.json
0f80032a-9b0f-4d11-b9da-a744966244b0,42,"Map of Mallard; Page 69: Atlas of Clearwater County, Minnesota, 1912",,"Ringborg, Axel",http://purl.umn.edu/193096,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/644/info.json
