id,a,dc_title,dc_description,,dc_creator,keywords,iiif_service
3f049218-3c3b-4e0b-b5a4-c01281d303e7,17,"Farmers' Directory of Bismark Township; Page 16: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2151/info.json
cf699180-6c24-40d3-acd1-169fc45d8152,18,"Map of Bismark Township: Township 113 N, Range 30 W of the 5th PM.; Page 17: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2152/info.json
389393a6-a89b-49e9-93e9-14d1572c7280,19,"Farmers' Directory of Transit Township; Page 18: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2153/info.json
3f681117-c55e-4f96-9efa-63bd9d73591f,20,"Map of Transit Township: Township 113 N, Range 29 W of the 5th PM.; Page 19: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2154/info.json
18cfeb3c-0378-4d59-8945-7697a8434996,21,"Farmers' Directory of Dryden Township; Page 20: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2155/info.json
2b3569b9-6f09-4f66-b734-8ead6170cc33,22,"Map of Dryden Township: Township 113 N, Range 28 W of the 5th PM.; Page 21: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2156/info.json
2a257ccf-5c32-41ce-b5b0-66f16cf08e85,23,"Farmers' Directory of Arlington Township; Page 22: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2157/info.json
264082e5-1f54-4af2-8770-90b563e30bd2,24,"Map of Arlington Township: Township 113 N, Range 27 W of the 5th PM.; Page 23: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2158/info.json
11d72575-c0d0-4318-b6d9-badd2d3266e5,25,"Farmers' Directory of Jessenland Township; Page 24: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2159/info.json
a9577f2c-80cf-40d0-b174-e8aec93940ce,26,"Map of Jessenland Township: Township 113 N, Range 26 W of the 5th PM.; Page 25: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2160/info.json
ec5badbe-bd07-481a-b819-bda362800d0f,27,"Farmers' Directory of Henderson Township; Page 26: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2161/info.json
90d84492-9e01-40aa-bef2-e932c66749e6,28,"Map of Henderson Township: Township 112 N, Range 26 W of the 5th PM.; Page 27: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2162/info.json
e829a839-d90e-4d7c-9f48-be6efdff4756,29,"Farmers' Directory of Kelso Township; Page 28: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2163/info.json
f036a785-17cd-4bf5-8380-9f779573139b,30,"Map of Kelso Township: Township 112 N, Range 27 W of the 5th PM.; Page 29: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2164/info.json
bd7fb738-f298-467c-861e-a07efed00846,31,"Farmers' Directory of Sibley Township; Page 30: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2165/info.json
1a4a175b-bbcd-4a51-9499-3fee45bfb0c6,32,"Map of Sibley Township: Township 112 N, Range 28 W of the 5th PM.; Page 31: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2166/info.json
96cf349d-c158-4e64-927b-c3bf5c6e51fa,33,"Farmers' Directory of Alfsboro Township; Page 32: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2167/info.json
8668705a-7886-40ff-84a8-7122bb751597,34,"Map of Alfsboro Township: Township 112 N, Range 29 W of the 5th PM.; Page 33: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2168/info.json
c12d4021-4e25-4b66-94ff-0b49942a3d16,35,"Farmers' Directory of Cornish Township; Page 34: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2169/info.json
0abe759f-44d2-4d2c-9cc6-dd56a45c7349,36,"Map of Cornish Township: Township 112 N, Range 30 W of the 5th PM.; Page 35: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2170/info.json
abbb598f-8865-47da-86e1-dcff7b68719a,37,"Farmers' Directory of Severance Township; Page 36: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2171/info.json
822fca84-3394-4807-b5e4-8e97352dfb3b,38,"Map of Severance Township: Township 112 N, Range 31 W of the 5th PM.; Page 37: Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2172/info.json
2e785729-d50d-4251-8791-d3743efd2f6a,39,"Blank Page; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2173/info.json
e0f778ea-7635-41cb-972c-3874f30580fb,40,"Location with Population of all Incorporated Towns in Minnesota; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2174/info.json
5c815704-c5b9-4fb0-97be-ee60e7e051c1,41,"Map of Minnesota; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2175/info.json
9ad817aa-de5a-4561-a864-7b11de485756,42,"Index of all the Chief Towns and Cities of over 2000 in the United States; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2176/info.json
91d0b7df-38ee-43d5-ae8c-eb59dc3eea68,43,"Index of all the Chief Towns and Cities of over 2000 in the United States; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2177/info.json
b33b1bd6-c664-4c0e-a781-18c0f9b9cd71,44,"Map of the United States; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2178/info.json
590474dd-d925-41fe-88a3-e24521c4521d,45,"Index of all the Chief Towns and Cities of over 2000 in the United States; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2179/info.json
3179572d-3677-4e4c-9f7b-c8653e8f4a93,46,"Rear Pastedown; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2180/info.json
41933357-b527-439a-a62e-de8bec7849ad,47,"Rear Cover; Atlas and farmers' directory of Sibley County, Minnesota, 1914",,,Webb Publishing Co.,Real property -- Minnesota -- Sibley County -- Maps,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2181/info.json
