id,sort,dc_title,dc_description,dc_creator,iiif_service
9caac60a-8308-422a-b843-b87718745f2e,25,"Plat of Champlin: Township 120 N; Range 21-22 W of the 5th PM.; Page 16: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1286/info.json
f769239f-90ee-40a1-9ed9-98d7a511584c,26,"Townsite of Champlin; Page 17: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1287/info.json
ee63d42d-23d8-4385-9639-ee8f603d357a,27,"Plat of Corcoran; Page 18: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1288/info.json
526d199f-1f1b-4d50-b9a2-bbfb090907a2,28,"Village of Crystal: Township 118 N; Range 21 W of the 5th PM. / Township 29 N; Range 24 W of the 4th PM.; Page 19: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1289/info.json
e67e7482-367c-4906-9bd7-8c2e4d13ca73,29,"Village of Crystal Additions; Page 20: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1290/info.json
9a775fee-3d15-459d-b07b-34e66653d462,30,"Plat of Dayton: Township 120 & 121 N; Range 22 W of the 5th PM.; Page 21: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1291/info.json
45055b41-d72a-430e-9473-4b8b6ec09eb6,31,"Village and Townsite of Dayton; Page 22: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1292/info.json
60a4c1f4-9162-4fe8-a156-bb1c80645619,32,"Village of Deephaven; Page 23: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1293/info.json
26721402-ecba-4a51-9df0-77b26dda90c9,33,"Village of Deephaven; Page 24: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1294/info.json
918e7ae0-12e4-4ed3-8b06-65a19c9089ca,34,"Plat of Eden Prairie: Township 115 & 116 N; Range 22 W of the 5th PM.; Page 25: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1295/info.json
d8afb4a4-38e0-43e6-a4a2-e2a2e34c5443,35,"Plat of Eden Prairie: Township 115 & 116 N; Range 22 W of the 5th PM.; Page 26: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1296/info.json
996ed4ec-636d-42e1-83bd-449e4a9c499e,36,"Village of Edina: Township 116 & 117 N; Range 21 W of the 5th PM. / Township 28 N; Range 24 W of the 4th PM.; Page 27: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1297/info.json
f7652aad-41d5-4be0-bd90-6ccc332120c7,37,"Village of Edina and Warden Acres; Page 28: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1298/info.json
50219d2f-d1cd-4814-84c0-7420c86b14b5,38,"Platted Property in Village of Edina; Page 29: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1299/info.json
f3e92c66-463f-45c8-8f3b-77bd460bec01,39,"Platted Property in Village of Edina; Page 30: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1300/info.json
0eeb2962-c4ba-48af-a607-394afa3dd419,40,"Plat of Excelsior: Township 117 N; Range 23 W of the 5th PM.; Page 31: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1301/info.json
ddb54d68-8ecb-4814-ab15-3b7fec485bda,41,"Plat of Excelsior: Township 117 N; Range 23 W of the 5th PM.; Page 32: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1302/info.json
49a99984-96f0-4863-bd09-758f60cc35c6,42,"Village of Excelsior; Page 33: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1303/info.json
e74c098b-fb3d-4a9e-a75e-739fb8d7b1af,43,"Village of Excelsior; Page 34: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1304/info.json
b78b58ca-c372-4d97-938d-b94c2d8aea69,44,"Platted Property in Excelsior Township; Page 35: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1305/info.json
b35bcb51-ff86-4644-909b-334606d9afff,45,"Platted Property in Excelsior Township; Page 36: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1306/info.json
9e63a340-1b26-4ae7-917a-3480250168a6,46,"Platted Property in Excelsior Township; Page 37: Atlas of Hennepin County, Minnesota, 1913",,"Westby, P. O.",https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/1307/info.json
