id,sort,dc_title,dc_description,dc_creator,iiif_service
6bf254c8-b383-4907-804e-fa8262239d20,22,"Map of Summit Lake Township: Township 103 N; Range 41 W of the 5th PM.; Page 47: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2256/info.json
e18e80fa-d434-44d2-b0d2-a04daa5e7644,23,"Map of Bloom Township: Township 104 N; Range 41 W of the 5th PM.; Page 49: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2257/info.json
a6ede92f-0b1f-4dbb-ab9e-085096fb3750,24,"Map of Little Rock Township: Township 101 N; Range 42 W of the 5th PM.; Page 51: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2258/info.json
caeb6ca4-d4b2-4224-9ccd-12a3dcb312c7,25,"Map of Olney Township: Township 102 N; Range 42 W of the 5th PM.; Page 53: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2259/info.json
d1aeca57-c9ca-4243-939d-dc5ed58436e8,26,"Map of Larkin Township: Township 103 N; Range 42 W of the 5th PM.; Page 55: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2260/info.json
a03caf48-416a-4387-a8ba-8a65ce11e9cc,27,"Map of Willmont [i.e. Wilmont] Township: Township 104 N; Range 42 W of the 5th PM.; Page 57: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2261/info.json
c56aa8b1-f0ca-409c-ad1b-698acce11326,28,"Map of Grand Prairie Township: Township 101 N; Range 43 W of the 5th PM.; Page 59: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2262/info.json
e524be61-622a-4c95-93df-694b80be5ea5,29,"Map of Westside Township: Township 102 N; Range 43 W of the 5th PM.; Page 61: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2263/info.json
78501976-619d-4bad-a87f-c738298bb263,30,"Map of Lismore Township: Township 103 N; Range 43 W of the 5th PM.; Page 63: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2264/info.json
402f1455-90b7-4b6d-b477-c887a8f3e468,31,"Map of Leota Township: Township 104 N; Range 43 W of the 5th PM.; Page 65: Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2265/info.json
65751b49-3ad9-42bf-9e7c-8f23938195dd,32,"Map of Minnesota; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2266/info.json
951117ba-b086-4b62-a763-1bcbfa13a404,33,"Map of the United States; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2267/info.json
348c06d0-0dec-4b23-a0ff-1b9c9dafdbda,34,"Map of the World; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2268/info.json
9c1243b6-da86-4bc9-817e-84c09e6986b2,35,"35 Reference Directory of Nobles County; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2269/info.json
